group_code,food_group,cod_item,food_description
06,Frutas,6807701,ACEROLA
06,Frutas,6804203,ARACA ACU (GOIABA)
06,Frutas,6811001,DAMASCO
06,Frutas,6803801,FRUTA DE CONDE
06,Frutas,6801901,LIMA
06,Frutas,6809901,AMORA
06,Frutas,6804801,CARAMBOLA
06,Frutas,6807501,MARI
06,Frutas,6807001,MURICI
06,Frutas,6806101,UXI
06,Frutas,6805301,JAMBO
06,Frutas,6806301,CACAU (FRUTA)
06,Frutas,6806701,PEQUI
06,Frutas,6808201,JURUBEBA
06,Frutas,6807401,NECTARINA
06,Frutas,6902402,PASSA
06,Frutas,6803803,ATA
06,Frutas,6808001,ABIU
06,Frutas,6806501,BACURI
06,Frutas,6804601,CAJA MANGA
06,Frutas,6806601,INGA
06,Frutas,6602601,PATAUA
06,Frutas,6806201,TAMARINDO
06,Frutas,6802223,TANJA
06,Frutas,6800901,BANANA-SAO-TOME
06,Frutas,6807301,CUPUACU
06,Frutas,6802218,MIMOSA
06,Frutas,6806401,PITOMBA
06,Frutas,6805701,ARACA
06,Frutas,6806704,PIQUIA
06,Frutas,6804705,CAJA
06,Frutas,6804001,JENIPAPO
06,Frutas,6805501,GROSELHA
06,Frutas,6805601,MANGABA
06,Frutas,6806001,SAPOTI
06,Frutas,6804701,TAPEREBA / TAPERIBA / CAJA-MIRIM / CAJA-PEQUENO
06,Frutas,6805101,ARATICUM
06,Frutas,6804602,CAJARANA
06,Frutas,6804501,CEREJA
06,Frutas,6802407,LARANJINHA JAPONESA / QUINCAN / KINKAN
06,Frutas,6808101,ABRICO
06,Frutas,6802305,GRAPEFRUIT / TORANJA
06,Frutas,6802227,MARICOTA
06,Frutas,6806801,PITANGA
06,Frutas,6810402,FISALIS
06,Frutas,6810201,JAMELAO (JAMBURAO)
07,"Oleaginosas (castanhas, nozes, amendoins)",6600501,AMENDOA
07,"Oleaginosas (castanhas, nozes, amendoins)",6600801,CASTANHA DE CAJU
07,"Oleaginosas (castanhas, nozes, amendoins)",6600701,CASTANHA DO PARA
07,"Oleaginosas (castanhas, nozes, amendoins)",6602502,"CASTANHAS E SEMENTES, MISTURA"
07,"Oleaginosas (castanhas, nozes, amendoins)",6600104,COCO SECO
07,"Oleaginosas (castanhas, nozes, amendoins)",6301001,AMENDOIM (EM GRAO) (IN NATURA)
07,"Oleaginosas (castanhas, nozes, amendoins)",6302002,LINHACA
07,"Oleaginosas (castanhas, nozes, amendoins)",6600401,PINHAO
07,"Oleaginosas (castanhas, nozes, amendoins)",6602301,BURITI
07,"Oleaginosas (castanhas, nozes, amendoins)",7009102,GERGELIM
07,"Oleaginosas (castanhas, nozes, amendoins)",6601108,TUCUMA
07,"Oleaginosas (castanhas, nozes, amendoins)",6602401,COCO NAO ESPECIFICADO
07,"Oleaginosas (castanhas, nozes, amendoins)",6602001,CASTANHA DA INDIA
07,"Oleaginosas (castanhas, nozes, amendoins)",6305001,CHIA
07,"Oleaginosas (castanhas, nozes, amendoins)",6602501,CASTANHAS NAO ESPECIFICADAS
07,"Oleaginosas (castanhas, nozes, amendoins)",6601803,COCO PUPUNHA
07,"Oleaginosas (castanhas, nozes, amendoins)",6601501,NOZ
07,"Oleaginosas (castanhas, nozes, amendoins)",6302001,SEMENTE DE LINHACA
07,"Oleaginosas (castanhas, nozes, amendoins)",6600702,CASTANHA DO BRASIL
07,"Oleaginosas (castanhas, nozes, amendoins)",6600703,NOZES DO PARA
07,"Oleaginosas (castanhas, nozes, amendoins)",6380001,SEMENTES DE GIRASSOL
07,"Oleaginosas (castanhas, nozes, amendoins)",6603201,"TAHINI, PASTA"
07,"Oleaginosas (castanhas, nozes, amendoins)",6303201,SEMENTES DE ABOBORA
07,"Oleaginosas (castanhas, nozes, amendoins)",6903303,AMENDOIM APIMENTADO
07,"Oleaginosas (castanhas, nozes, amendoins)",6600301,CASTANHA PORTUGUESA
07,"Oleaginosas (castanhas, nozes, amendoins)",6903208,AMENDOIM AMANTEIGADO
07,"Oleaginosas (castanhas, nozes, amendoins)",6601707,JUCARA
07,"Oleaginosas (castanhas, nozes, amendoins)",6601902,BACABA
07,"Oleaginosas (castanhas, nozes, amendoins)",6600101,COCO DA BAHIA
07,"Oleaginosas (castanhas, nozes, amendoins)",6903304,AMENDOIM COZIDO
07,"Oleaginosas (castanhas, nozes, amendoins)",6503702,AMENDOIM MOIDO
07,"Oleaginosas (castanhas, nozes, amendoins)",6600105,COCO VERDE
07,"Oleaginosas (castanhas, nozes, amendoins)",6601712,JUSSARA
07,"Oleaginosas (castanhas, nozes, amendoins)",6601213,BOCAIUVA
07,"Oleaginosas (castanhas, nozes, amendoins)",6600912,BUTIA
07,"Oleaginosas (castanhas, nozes, amendoins)",6600901,COCO OURICURI
07,"Oleaginosas (castanhas, nozes, amendoins)",6600913,LICURI
07,"Oleaginosas (castanhas, nozes, amendoins)",6602201,PISTACHE
07,"Oleaginosas (castanhas, nozes, amendoins)",6603001,NOZ PECAN
07,"Oleaginosas (castanhas, nozes, amendoins)",6600601,AVELA
07,"Oleaginosas (castanhas, nozes, amendoins)",6906404,POLPA DE COCO
07,"Oleaginosas (castanhas, nozes, amendoins)",6601002,COCO BABACU
08,Farinhas e massas,6500401,AVEIA EM FLOCOS
08,Farinhas e massas,6904502,BEIJU
08,Farinhas e massas,6501401,FARINHA DE MANDIOCA
08,Farinhas e massas,8502901,FAROFA PRONTA
08,Farinhas e massas,6503401,MACARRAO
08,Farinhas e massas,8502201,FAROFA
08,Farinhas e massas,8502202,FAROFA COM CARNE  / LINGUICA/  BACON
08,Farinhas e massas,8500921,LASANHA
08,Farinhas e massas,8581503,MACARRAO COM QUEIJO
08,Farinhas e massas,8581509,MACARRAO CREMOSO / SUGO / TOMATE
08,Farinhas e massas,6504802,MACARRAO INSTANTANEO
08,Farinhas e massas,8500919,MACARRONADA
08,Farinhas e massas,6504801,MIOJO
08,Farinhas e massas,8500913,PANQUECA
08,Farinhas e massas,6500902,SUCRILHOS DE MILHO
08,Farinhas e massas,8080101,TAPIOCA
08,Farinhas e massas,6501516,TAPIOCA DE GOMA
08,Farinhas e massas,6500903,CEREAL MATINAL DE MILHO EM FLOCOS
08,Farinhas e massas,6501415,FARINHA DE AGUA
08,Farinhas e massas,6502001,FARINHA LACTEA
08,Farinhas e massas,6504101,GRANOLA
08,Farinhas e massas,8500904,LAZANHA
08,Farinhas e massas,6504701,MIX DE CEREAIS
08,Farinhas e massas,6502101,NESTON
08,Farinhas e massas,6500301,FARINHA DE AVEIA
08,Farinhas e massas,8502204,FAROFA COM OVOS
08,Farinhas e massas,6502102,FLOCOS DE CEREAIS
08,Farinhas e massas,8581504,MACARRAO AO ALHO E OLEO
08,Farinhas e massas,6573225,MACARRAO COM CARNE
08,Farinhas e massas,8506001,FAROFA DE BANANA
08,Farinhas e massas,6573239,MACARRONESE
08,Farinhas e massas,6573242,MASSA / MACARRAO INTEGRAL
08,Farinhas e massas,8006101,CREPE
08,Farinhas e massas,6501416,CRUERA/ CRUEIRA
08,Farinhas e massas,6501304,FIBRA DE CEREAL TRIGO
08,Farinhas e massas,6502106,FLOCOS NAO ESPECIFICADO
08,Farinhas e massas,8581505,MACARRAO COM FRANGO OU GALINHA
08,Farinhas e massas,6573226,MACARRAO COM PEIXE / ATUM / SARDINHA
08,Farinhas e massas,8581511,MACARRAO COM SALSICHA
08,Farinhas e massas,6500201,FLOCOS DE ARROZ
08,Farinhas e massas,6501301,GERME DE TRIGO
08,Farinhas e massas,6904501,SAROLHO
08,Farinhas e massas,8511901,LASANHA / LAZANHA DE BERINGELA
08,Farinhas e massas,8581506,MACARRAO COM LEGUMES
08,Farinhas e massas,7701406,YAKISSOBA
08,Farinhas e massas,8512101,LASANHA / LAZANHA DE FRANGO OU GALINHA
08,Farinhas e massas,8581507,MACARRAO COM LINGUICA
08,Farinhas e massas,8581508,MACARRAO COM MOLHO BRANCO
08,Farinhas e massas,8500906,CANELONI
08,Farinhas e massas,8500923,CAPELETTI DE FRANGO
08,Farinhas e massas,8511902,LASANHA / LASANHA DE BERINGELA COM CARNE
08,Farinhas e massas,8500905,NHOQUE
08,Farinhas e massas,8579256,RONDELE / RONDELI / RONDELLE
08,Farinhas e massas,6573240,SALADA DE MACARRAO
08,Farinhas e massas,6573241,SALADA DE MACARRAO COM MAIONESE
08,Farinhas e massas,8581701,YAKISSOBA DE CARNE
08,Farinhas e massas,8512901,CANELONE DE QUEIJO
08,Farinhas e massas,8513001,CANELONE DE QUEIJO E PRESUNTO
08,Farinhas e massas,8500907,CAPELETI
08,Farinhas e massas,6500202,CROQUINHOS DE ARROZ
08,Farinhas e massas,8502206,FAROFA DE COUVE
08,Farinhas e massas,8512201,LASANHA / LAZANHA DE LEGUMES AO SUGO
08,Farinhas e massas,8512301,LASANHA / LAZANHA DE QUEIJO E PRESUNTO
08,Farinhas e massas,8512401,LASANHA / LAZANHA QUATRO QUEIJOS
08,Farinhas e massas,8581501,MACARRAO COM CAMARAO
08,Farinhas e massas,8581502,MACARRAO COM FRUTOS DO MAR
08,Farinhas e massas,8581510,MACARRAO GRATINADO
08,Farinhas e massas,8512801,CANELONE DE FRANGO
08,Farinhas e massas,8513201,CANELONE DE RICOTA
08,Farinhas e massas,6501410,FARINHA DE COPIOBA
08,Farinhas e massas,8502101,FAROFA PRONTA LIGHT
08,Farinhas e massas,8581401,MACARAO COM OVO
08,Farinhas e massas,6506302,MACARRAO INSTANTANEO LIGHT
08,Farinhas e massas,8579257,RONDELE DE CAMARAO
08,Farinhas e massas,8581702,YAKISSOBA DE FRANGO
08,Farinhas e massas,8581706,YAKISSOBA DE LEGUMES
08,Farinhas e massas,6502109,FLOCOS DE TRIGO
08,Farinhas e massas,6573243,MASSA / MACARRAO SEM GLUTEN
08,Farinhas e massas,8500909,RAVIOLI
08,Farinhas e massas,8581704,YAKISSOBA DE CAMARAO
08,Farinhas e massas,6501303,FIBRA DE TRIGO
08,Farinhas e massas,8579259,RONDELE DE QUEIJO E PRESUNTO
08,Farinhas e massas,8500922,CAPELETTI DE CARNE
08,Farinhas e massas,8579253,RONDELE DE CARNE
08,Farinhas e massas,8512001,LASANHA / LAZANHA COM FRUTOS DO MAR
08,Farinhas e massas,8508004,LASANHA / LAZANHA LIGHT
09,Panificados,8004001,BOLO DE LARANJA
09,Panificados,8000101,PAO FRANCES
09,Panificados,8002201,BISCOITO SALGADO
09,Panificados,8013301,BOLO DOCE COM RECHEIO E COBERTURA
09,Panificados,8000107,PAO CACETINHO
09,Panificados,8570328,PAO COM MANTEIGA
09,Panificados,8000105,PAO DE SAL
09,Panificados,8001501,PAO NAO ESPECIFICADO
09,Panificados,8002212,BISCOITO DE POLVILHO
09,Panificados,8002301,BISCOITO DOCE
09,Panificados,8010501,BISCOITO DOCE DIET
09,Panificados,8010401,BISCOITO DOCE LIGHT
09,Panificados,8005201,BISCOITO NAO ESPECIFICADO
09,Panificados,8004801,BISCOITO RECHEADO
09,Panificados,8002236,BISCOITO SALGADO INTEGRAL
09,Panificados,8000237,BISNAGUINHA
09,Panificados,8002334,BOLACHA DOCE
09,Panificados,8004810,BOLACHA RECHEADA
09,Panificados,8002225,BOLACHA SALGADA
09,Panificados,8010125,BOLACHA SALGADA LIGHT
09,Panificados,8003801,BOLO DE CHOCOLATE
09,Panificados,8004101,BOLO DE COCO
09,Panificados,8002612,BOLO DE FUBA
09,Panificados,8002704,BOLO DE GOMA
09,Panificados,8002705,BOLO DE MANDIOCA
09,Panificados,8004603,BOLO SIMPLES
09,Panificados,8004701,BROA
09,Panificados,8002503,CUCA DE QUALQUER TIPO
09,Panificados,8000109,PAO CARECA
09,Panificados,8080001,PAO CASEIRO
09,Panificados,8570329,PAO COM MARGARINA
09,Panificados,8000501,PAO DE FORMA INDUSTRIALIZADO DE QUALQUER MARCA
09,Panificados,8000106,PAO DE TRIGO
09,Panificados,8000201,PAO DOCE
09,Panificados,8000208,PAO DOCE COM RECHEIO
09,Panificados,8000249,PAO DOCE SEM RECHEIO
09,Panificados,8001401,PAO INTEGRAL
09,Panificados,8000158,PAOZINHO
09,Panificados,8002002,ROSQUINHA DOCE
09,Panificados,8003703,SONHO RECHEADO COBERTO COM ACUCAR
09,Panificados,8003704,SONHO RECHEADO COM COBERTURA DE CHOCOLATE
09,Panificados,8001901,TORRADA DE QUALQUER PAO
09,Panificados,8002254,TORRADA INTEGRAL
09,Panificados,8003501,TORTAS DOCES DE QUALQUER SABOR
09,Panificados,8010601,BOLO DE BANANA
09,Panificados,8004201,BOLO DE CENOURA
09,Panificados,8012901,BOLO DE CENOURA SEM RECHEIO COM COBERTURA
09,Panificados,8002703,BOLO DE MACAXEIRA
09,Panificados,8002601,BOLO DE MILHO
09,Panificados,8002702,BOLO DE TAPIOCA
09,Panificados,8004601,BOLO DE TRIGO
09,Panificados,8013201,BOLO DIET SIMPLES
09,Panificados,8013601,BROWNIE
09,Panificados,8002227,CHIPS (SALGADINHOS)
09,Panificados,8003702,FILHOS (BOLINHO DE FARINHA DE TRIGO E OVOS)
09,Panificados,8000157,PAO BRANCO NAO ESPECIFICADO
09,Panificados,8000103,PAO DE HAMBURGUER
09,Panificados,8002001,ROSCA DOCE
09,Panificados,8002246,"SALGADINHO DE MILHO (TIPO DORITOS, FANDANGOS, CHEETO"
09,Panificados,8002256,SALGADINHO TIPO TORCIDA
09,Panificados,8002305,SEQUILHO
09,Panificados,8008305,BISCOITO WAFFER / WAFER LIGHT
