ingr_descr_eng,foodex2_ingr_code,ingr_code
"*Maize flour,white,unrefined,raw*boiled*",A002Q#F28.A07GL$F10.A0F2R$F10.A06HR,1096
"*CABBAGE,  GREEN,FRESH,(MEDIUM) RAW",A00GB#F10.A0F2Q$F10.A166Y,29162
"CHAPATI,WHEAT,WITH SALT AND VEGETABLE OIL, LARGE",A006Y#F04.A001M$F04.A042P$F04.A036N,30189
"*KALE LEAVES,SUKUMAWIKI LEAVES,FRESH,W/O STALKS,RAW",A00GN#F10.A166Y$F20.A07QH,18001
"*SOSSI,SOYA CHUNKS,RAW",A03TF#F03.A06JB,8917
"MANDAZI,WHEAT,FRIED,WITH SALT AND VEGETABLE OIL,MEDIUM",A16FY#F04.A042P$F04.A036N,30193
"*BLACKNIGHTSHADE LEAVES,FRESH,W/O STALKS,RAW*BOILED*",A00NL#F28.A07GL$F10.A166Y$F20.A07QH,18922
"*COWPEA LEAVES,KUNDE,FRESH,W/O STALKS,RAW*BOILED*",A0DKA#F28.A07GL$F10.A166Y$F20.A07QH,18072
"*VEGETABLE FAT,TILY,RAW,(LTBS)",A037N#F22.A07SH,25042
"*COWPEA LEAVES,KUNDE,FRESH,W/O STALKS,RAW",A0DKA#F10.A166Y$F20.A07QH,18071
"*KALE,SUKUMAWIKI LEAVES,FRESH,W/O STALKS,RAW",A00GN#F10.A166Y$F20.A07QH,18001
*PORRIDGE FLOUR PROCTOR&ALLAN,A00EN,1119
"*VEGETABLE FAT,UNSPECIFIED BRAND,RAW,(HTSP)",A036N#F26.A07XD$F22.A07SH,25056
"*SILVER CYPRINID, OMENA/SMALLFISH, VOL,RAW",A0F1C#F01.A0K2S,14013
"*SWEETPOTATO, YELLOW,  WO/SKIN,FRESH, WHOLE, A (LARGE),RAW,",A010C#F10.A166Y$F10.A0F5H$F03.A06HY$F20.A07QR,4029
"*FISH, TILAPIA, FRESH, WHOLE FISH, (LARGE),RAW",A0F8L#F10.A166Y$F03.A06HY,14001
"*CITRIC ACID,(LTSP)",A048T,30121
"*SORGHUM GRAIN,RED VARIETY,DRIED,RAW",A001L#F28.A07KG$F10.A0F2S,1053
"*GOAT MEAT, MEDIUM FAT,W BONE, FRESH, RAW *STIR FRIED*",A01RL#F28.A07GT$F10.A077B$F20.A07QL,16113
"*JUTE MALLOW,FRESH,W/O STALKS,RAW",A16QM#F10.A166Y$F20.A07QH,18933
"*VEGETABLE FAT, FORTIFIED,RAW,(VOL)",A036N#F10.A0F6C$F22.A07SH,25044
"*FISH, FISH FILLET PIECES,  (SMALL),RAW",A026V#F03.A06HZ,14161
"*SILVER CYPRINID, SMALLFISH,SUNDRIED, VOL,RAW",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK,14013
"*SPIDERPLANT LEAVES,FRESH,W/O STALKS,RAW",A00KR#F01.A144K$F10.A166Y$F20.A07QH,18061
"*SILVER CYPRINID, SMALLFISH, FRESH,VOL,RAW",A0F1C#F01.A0K2S$F10.A166Y,14175
"*SALT,SODA ASH,(LTBS)",A048T,30145
"*SILVER CYPRINID, SMALLFISH, SUN DRIED, VOL,RAW, *BOILED*",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK$F28.A07GL,14015
"*VEGETABLE FAT,(HTSP)",A036N,25028
"*FISH, TILAPIA,FRESH, WHOLE FISH, (MEDIUM),DEEP FRIED",A0F8L#F28.A07GV$F10.A166Y$F03.A06HY,14034
"*COCOA,POWDER,(HTBS)",A03HG,27052
"*SILVER CYPRINID, SMALLFISH,  FRESH, VOL,RAW, *STIR FRIED*",A0F1C#F01.A0K2S$F28.A07GT$F10.A166Y,14181
"*IRISH POTATO,FRESH, WHOLE,  (SMALL),RAW,*STIR FRIED*",A00ZT#F28.A07GT$F10.A166Y$F03.A06HY,5068
"*CHICKEN, WHOLE,W BONES, SKIN&MEAT,(MEDIUM),RAW",A01SP#F03.A06HY$F20.A07QL$F20.A07QQ,16002
"*MAIZE ON COB, WHITE, FRESH, M,RAW, *ROASTED*",A000T#F28.A07GY$F10.A0F2R$F10.A166Y$F20.A07RE,1014
"*AMARANTH ,FRESH,RAW*BOILED*",A00ML#F28.A07GL$F10.A166Y,18032
"*VEGETABLE FAT, FORTIFIED,RAW,(LTSP)",A036N#F10.A0F6C$F22.A07SH,25045
*SOUR MILK,A02NT,9021
"*Maize on cob, white, fresh,raw, *boiled*",A000T#F28.A07GL$F10.A0F2R$F10.A166Y$F20.A07RE,1022
"*MILK,GOAT MILK,CREAM",A02ML#F27.A02MB,9017
TRADITIONAL BREW,A03PH,27067
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE , VOL,RAW,*BOILED*",A00ZT#F28.A07GL$F10.A166Y$F03.A06HY$F20.A07QR,2061
HARD FRIED DOUGH (STANDARD),A16FY#F10.A0CJP,1082
"*MILK,COWS MILK, CREAM",A02ML#F27.A02LV,9015
"*VEGETABLE FAT, FORTIFIED,RAW,(HTSP)",A036N#F10.A0F6C$F22.A07SH,25046
"*CLIMBING SPINACH LEAVES,FRESH,W/O STALKS,RAW",A00MM#F10.A166Y$F20.A07QH,18917
"*VEGETABLE FAT,RAW,(HTSP)",A036N,25051
"*LEMON,FRESH,RAW,(STANDARD)",A01BY#F10.A166Y,30050
"PEANUT BUTTER,(HTSP)",A01BN,8956
"*GOAT MEAT, HIGH FAT,W BONE, FRESH, RAW *BOILED*",A01RL#F28.A07GL$F10.A0CRE$F20.A07QL,11073
AMARANTH FLOUR (VOL),A002E,1120
"*BEEF,MATUMBO,RAW",A020V,16102
"*SWEET PEPPER,GREEN, VOL,RAW",A00JA#F10.A0F2Q,29045
BEEF SOUP/STOCK,A0BZB#F04.A01QX,16163
"*Maize flour, white, refined*boiled*",A002Q#F28.A07GL$F10.A07XK,1098
"KALE LEAVES,FRESH,W/O STALKS,RAW",A00GN#F10.A166Y$F20.A07QH,18001
"*BEANS,BORLOTTI BEANS,DRIED,RAW*BOILED*",A012T#F28.A07GL,8902
"*SPIDERPLANT LEAVES, FRESH,W/O STALKS,RAW",A00KR#F01.A144K$F10.A166Y$F20.A07QH,18061
"*AMARANTH,FRESH,W/O STALKS,RAW",A00ML#F10.A166Y$F20.A07QH,18031
"*AMARANTH,FRESH,RAW*BOILED*",A00ML#F28.A07GL$F10.A166Y,18032
"*MILK,COWS MILK,WHOLE, FRESH, RAW*BOILED*",A02LY#F28.A07GL$F10.A166Y,9003
"*BLACKNIGHTSHADE LEAVES, FRESH,W/O STALKS,RAW*BOILED*",A00NL#F28.A07GL$F10.A166Y$F20.A07QH,18922
"*GREENGRAMS, DRIED,BOILED*STIR FRIED*",A013D#F28.A07GL$F28.A07GT,8940
"*VEGETABLE FAT, (LTSP)",A036N,25027
"*SAUSAGE,RAW*DEEP FRIED*(STANDARD)",A024L#F28.A07GV,16157
"*IRISH POTATOES, FRESH, WEDGES,VOL, RAW,*DEEP FRIED*",A00ZT#F28.A07GV$F10.A166Y,2073
"*SCONES,WHEAT, REFINED FLOUR,C,(LARGE)",A00CM#F04.A003X$F10.A07XK,1112
"*JAM, FRUIT JAM,(LTSP)",A01MM,26031
"*DOUGHNUT,BASIC RECIPE, L",A00BR,1041
"*MILLET FLOUR, UNREFINED,RAW*porridge*",A0F0V#F04.A002T$F10.A06HR,1026
"*BLACKNIGHTSHADE LEAVES,,FRESH,W/O STALKS,RAW*BOILED*",A00NL#F28.A07GL$F10.A166Y$F20.A07QH,18922
"*MAIZE ON COB, WHITE, FRESH, L, RAW, *ROASTED*",A000T#F28.A07GY$F10.A0F2R$F10.A166Y$F20.A07RE,1013
"*BLACKNIGHTSHADE LEAVES, FRESH,W/O STALKS,RAW",A00NL#F10.A166Y$F20.A07QH,18921
HARD DOUGH(STANDARD),A16FY#F10.A0CJP,1082
"*COWPEA LEAVES,  FRESH,W/O STALKS,RAW",A0DKA#F10.A166Y$F20.A07QH,18071
"*JUTE MALLOW LEAVES,FRESH,W/O STALKS,RAW",A16QM#F10.A166Y$F20.A07QH,18933
"*TRADITIONAL BICABORNATE OF SODA, (VOL)",A048Q,30120
"*IRISH POTATOES, FRESH, WEDGES, VOL, RAW",A00ZT#F10.A166Y$F20.A07QR,2050
"*ONION, RED BULB,FRESH,VOL,RAW",A0DND#F10.A166Y$F10.A0F2S,29135
"*EGG,CHICKEN,WHOLE,RAW* STIR FRIED*",A032C#F27.A031G$F28.A07GT,17009
"*SOUR MILK,PROCESSED,MALA",A02NT,9020
"*GOAT MEAT, HIGH FAT, W BONE ,FRESH, RAW",A01RL#F10.A0CRE$F20.A07QL,16106
"*MAIZE FLOUR,WHITE,UNREFINED,RAW*porridge*",A0F0V#F04.A002Q$F10.A0F2R$F10.A06HR,1023
"*ANIMAL FAT,LARD,RAW,(LTSP)",A037V,25032
"*SPIDERPLANT LEAVES, FRESH,W/O STALKS,RAW*BOILED*",A00KR#F01.A144K$F28.A07GL$F10.A166Y$F20.A07QH,18062
"*SWEETPOTATO,YELLOW, W/SKIN,FRESH, PIECES, H, (MEDIUM),RAW ,",A010C#F10.A166Y$F10.A0F5H$F20.A07QQ,4009
"*BEEF, HIGH FAT, W BONE ,FRESH, VOL,RAW",A01QX#F10.A166Y$F10.A0CRE$F20.A07QL,11001
"*SUGARCANE, RAW(S)",A010V,26003
*SOIL,A03RQ#F01.A0BYJ,30168
"*GOAT LIVER,RAW",A01XL,12101
"*Millet flour, unrefined,raw*boiled*",A002T#F28.A07GL$F10.A06HR,1102
"FRUIT,UNSPECIFIED,FRESH,RAW(STANDARD)",A04RK#F10.A166Y$F26.A07XD,30232
"*BEANS,BORLOTTI BEANS,DRIED,RAW",A012T#F28.A07HS,8901
"*GUAVA,YELLOW FLESHED,FRESH,W/O SKIN,RAW (STANDARD)",A0CGD#F10.A166Y$F10.A0F5H$F20.A07QR,30078
"*GROUNDNUTS,DRIED,W SKIN,DRIED,RAW,*ROASTED*",A015H#F28.A07GY$F20.A07QQ,8945
"*ORANGE JUICE EXTRACT,UNDILUTED,FRESH,RAW",A03AM#F10.A0CRD$F10.A166Y,27032
"*GUAVA,PINK FLESHED,FRESH,W/O SKIN,RAW (STANDARD)",A0CGD#F10.A166Y$F20.A07QR,30077
"*GLUCOSE,(LTBS)",A032V,26025
"*GLUCOSE,(HTBS)",A032V,26026
"KALE LEAVES,FRESH,W/O STALKS,RAW*BOILED*",A00GN#F28.A07GL$F10.A166Y$F20.A07QH,18002
"*SWEETPOTATO,WHITE, WO/SKIN,FRESH,WHOLE,A(LARGE),RAW,*BOILED",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F03.A06HY$F20.A07QR,3029
"*BANANA, GREEN BANANA, FRESH,(MEDIUM),RAW,*BOILED*",A01LE#F28.A07GL$F10.A0F2Q$F10.A166Y,5007
"*BEEF,TRIPE,RAW*BOILED*",A020V#F28.A07GL,16103
"*GROUNDNUTS,DRIED,W/O SKIN,DRIED,RAW,*ROASTED*",A015H#F28.A07GY$F20.A07QR,8948
"*FISH,TILAPIA, FRESH, CHOPPED,FISH TAIL,(LARGE),DEEP FRIED,*",A0F8L#F28.A07GV$F10.A166Y$F03.A06HZ,14126
"*BEEF CUBES,SINGLE PIECES, MEDIUM FAT,FRESH,  (SMALL),RAW *S",A01QX#F28.A07GT$F10.A077B$F03.A06JB,16095
"*BEEF, BEEF CUBES, GROUPED,MEDIUM FAT,FRESH, VOL,RAW *BOILED",A01QX#F28.A07GL$F10.A166Y$F10.A077B$F03.A06JB,11034
"*SILVER CYPRINID,SMALLFISH, SUN DRIED,(MEDIUM),RAW, *STIR FR",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK$F28.A07GT,14021
"*COWPEA LEAVES,  FRESH,W/O STALKS,RAW*BOILED*",A0DKA#F28.A07GL$F10.A166Y$F20.A07QH,18072
"*FISH,TILAPIA, FRESH, CHOPPED,FISH TAIL, (SMALL),RAW,*STIR F",A0F8L#F28.A07GT$F10.A166Y$F03.A06HZ,14122
"*TERMITES,FRESH,RAW",A16XE#F01.A16SH$F10.A166Y,16108
"*BANANA, GREEN BANANA, FRESH,(LARGE),RAW,*BOILED*",A01LE#F28.A07GL$F10.A0F2Q$F10.A166Y,5006
"*GOAT LIVER,RAW*BOILED*",A01XL#F28.A07GL,12102
"*PUMPKIN, PUMPKIN CUTS, W/ SKIN, D,(LARGE),RAW*BOILED*",A00KH#F28.A07GL$F03.A06JA$F20.A07QQ,29028
"*FRUIT FLAVOURED DRINK/JUICE,READY TO DRINK",A03EA,27033
"*SWEET PEPPER, GREEN,RAW (SMALL)",A00JA#F10.A0F2Q,29167
"*COFFEE,BEVERAGE,(LTBS)",A03KA,27046
"*FISH,TILAPIA, FRESH, CHOPPED,FISH TAIL,(LARGE),DEEP FRIED",A0F8L#F28.A07GV$F10.A166Y$F03.A06HZ,14123
"*BEEF CUBES,SINGLE PIECES, MEDIUM FAT,FRESH, (MEDIUM),RAW *S",A01QX#F28.A07GT$F10.A077B$F03.A06JB,16094
"*MAIZE ON COB, WHITE, FRESH, S, RAW, *ROASTED*",A000T#F28.A07GY$F10.A0F2R$F10.A166Y$F20.A07RE,1015
"*CASSAVA ROOT, FRESH, W/SKIN, A(LARGE),RAW,*BOILED*",A00ZZ#F28.A07GL$F10.A166Y$F20.A07QQ,2007
"*VEGETABLE OIL ,RAW,(LTBS)",A036N,25009
"*PUMPKIN LEAVES,FRESH,W/O STALKS,RAW*BOILED*",A16QL#F28.A07GL$F10.A166Y$F20.A07QH,18052
"*ANIMAL FAT,LARD,RAW,(LTBS)",A037V,25034
"*ORANGES, GREEN TYPE,F,(SMALL), FRESH, RAW",A0DZB#F10.A0F2Q$F10.A166Y,30064
"*SWEET PEPPER, GREEN, VOL,RAW",A00JA#F10.A0F2Q,29045
"*BANANA, GREEN BANANA, FRESH,(MEDIUM),RAW",A01LE#F10.A0F2Q$F10.A166Y,5003
"*CORRIANDER LEAVES, FRESH W/O STALKS,RAW",A00XF#F10.A166Y$F20.A07QH,29049
"TEA,W/ COW MILK,WO SUGAR",A03LB#F04.A02LV$F10.A077K,30231
"*GREENGRAMS, DRIED,RAW*BOILED*",A013D#F28.A07GL,8939
"*PASTA, SPAGHETTI,WHITE,REFINED,RAW",A007L#F10.A07XK,1069
"*MAIZE GRAIN,WHITE, DRIED,DEHULLED,RAW,*BOILED*",A000T#F28.A07KG$F28.A07GL$F10.A0F2R$F20.A07QR,1093
"*PASTA, MACORONI,WHITE,REFINED,RAW",A007L#F10.A07XK,1038
"*MANGO JUICE,FRESH",A039Y#F10.A166Y,30080
"*MILK,POWDER,WHOLE,DRIED,(LTBS)",A02PK,9006
"*LETTUCE,FRESH,RAW",A00KX#F10.A166Y,18943
"*LEMON JUICE EXTRACT,UNDILUTED,FRESH,RAW",A03AH#F10.A0CRD$F10.A166Y,27031
"*TAMARIND,FRESH, RAW",A019J#F10.A166Y,30051
"*CHILLI, GREEN, FRESH, VOL,RAW",A00JB#F10.A166Y$F10.A0F2Q,29058
"*GARLIC,FRESH,RAW",A00GZ#F10.A166Y,29013
"*Egg,chicken,whole,raw",A031G,17009
"*BISCUIT,WAFER,BASIC RECIPE, BAKED(STANDARD)",A0BYR,1081
"*MILK,COWS MILK,PROCESSED, FULL,FAT,FRESH*TEA*",A02LX#F04.A03HR$F10.A166Y,9013
"*VEGETABLE FAT, (LTBS)",A036N,25029
"*POTATO CRISPS,SALTED,CHEESE &ONION",A0BYS#F04.A042R$F04.A06LZ$F04.A06RQ,5096
"*CUCUMBER,GREEN, FRESH, VOL,RAW",A00JM#F10.A0F2Q$F10.A166Y,29065
"*CHICKEN,THIGH,W BONE,SKIN & MEAT, (LARGE),RAW,*DEEP FRIED*",A01SP#F02.A07XQ$F28.A07GV$F03.A06HY$F20.A07QL$F20.A07QQ,16022
"*CHICKEN,DRUMSTICK,W BONE,SKIN & MEAT,(LARGE),RAW,*DEEP FRIE",A01SP#F02.A07XQ$F28.A07GV$F03.A06HY$F20.A07QL$F20.A07QQ,16034
"*BEEF, BEEF CUBES, GROUPED,MEDIUM FAT,FRESH,VOL, RAW *ROASTE",A01QX#F28.A07GY$F10.A166Y$F10.A077B$F03.A06JB,11042
"*CHICKEN,WINGS,W BONE,SKIN & MEAT, (LARGE),RAW,*DEEP FRIED*",A01SP#F02.A06AG$F28.A07GV$F03.A06HY$F20.A07QL$F20.A07QQ,16043
"*SCONES, WHEAT, REFINED FLOUR,B,(MEDIUM)",A00CM#F04.A003X$F10.A07XK,1111
SMINOFF ICE,A03PH,27071
"*CARROTS, FRESH, VOL,RAW",A00QH#F10.A166Y,29004
"TOMATO SAUCE,(LTBS)",A044P,30162
"*CHICKEN, WHOLE,W BONES, SKIN&MEAT,(MEDIUM),RAW, *DEEP FRIED",A01SP#F28.A07GV$F03.A06HY$F20.A07QL$F20.A07QQ,16008
"*Pasta,spaghetti,white,refined,raw*boiled*",A007L#F28.A07GL$F10.A07XK,1070
"*FRENCH BEANS,GREEN,FRESH,RAW",A00PG#F10.A0F2Q$F10.A166Y,29107
"*YOGHURT,FULL FAT,FRESH,PLAIN",A02NG#F10.A077A$F10.A166Y,9009
DRINKING CHOCOLATE,A03KZ,9002
"*BANANA, GREEN BANANA, FRESH,(LARGE),RAW",A01LE#F10.A0F2Q$F10.A166Y,5002
"*FISH, FISH FILLET PIECES,  (SMALL),RAW, *STIR FRIED*",A026V#F28.A07GT$F03.A06HZ,14167
"*CASSAVA ROOT,FRESH, WO/SKIN,H,(MEDIUM),RAW,*BOILED*",A00ZZ#F28.A07GL$F10.A166Y$F20.A07QR,2011
"*PINEAPLE,SLICES,FRESH,(MEDIUM),RAW",A01LP#F10.A166Y$F03.A06JA,30046
"*WATERMELON, SLICES,D,(LARGE),FRESH,RAW",A00KJ#F10.A166Y$F03.A06JA,30056
"*BANANA,GREEN BANANA, FRESH,(MEDIUM),RAW",A01LE#F10.A0F2Q$F10.A166Y,5003
"*CASSAVA ROOT,FRESH,WO/SKIN,G,(LARGE),RAW,*BOILED*",A00ZZ#F28.A07GL$F10.A166Y$F20.A07QR,2010
"*VEGETABLE OIL ,RAW,(LTBS)",A036N#F22.A07SH,25006
*BEEF CUBE,A043H,30095
"SOYA CHUNKS,RAW",A03TF#F03.A06JB,8917
"*CHEWING GUM,ALL TYPES(STANDARD)",A035M,26008
*EDIBLE ROCK,A03RQ#F01.A0BYJ,30169
"*Milk,coconut milk,fresh",A01BK#F10.A166Y,30149
*Yeast,A048Z,30129
"*FISH, TILAPIA, FRESH, WHOLE FISH, (MEDIUM),RAW",A0F8L#F10.A166Y$F03.A06HY,14002
"*MILK,COWS MILK,PROCESSED, LOW FAT,FRESH",A02LZ#F10.A166Y,9012
"*CORRIANDER POWDER,POWDER,(LTSP)",A018D#F03.A06JD,30164
"*IRISH POTATO,FRESH, W/SKIN,WHOLE ,(MEDIUM),RAW,*BOILED*",A00ZT#F28.A07GL$F10.A166Y$F03.A06HY$F20.A07QQ,2047
"*BEEF, LOW FAT,W BONE, FRESH, VOL,RAW *BOILED*",A01QX#F28.A07GL$F10.A166Y$F10.A077C$F20.A07QL,11057
"*FISH,TILAPIA, FRESH, CHOPPED,FISH HEAD,(MEDIUM),RAW,*DEEP F",A0F8L#F28.A07GV$F10.A166Y$F03.A06HZ,14070
"*FISH, TILAPIA, FRESH, WHOLE FISH,  (SMALL),RAW",A0F8L#F10.A166Y$F03.A06HY,14003
"*CARDAMON,  POWDER,(LTBS)",A018V#F03.A06JD,30104
"*ONION,WHITE BULB,FRESH,(MEDIUM),RAW",A0DND#F10.A0F2R$F10.A166Y,29143
"*PASSION FRUIT JUICE ,FRESH,RAW",A03AA#F10.A166Y,27072
"*CASSAVA ROOT,FRESH, WO/SKIN, G,(LARGE),RAW,*DEEP FRIED*",A00ZZ#F28.A07GV$F10.A166Y$F20.A07QR,2037
"*TOMATO,TUNGUJA,RIPE,RAW (STANDARD)",A00HY#F10.A07XL,29168
"*SAMOSA,BEEF FILLING,FRIED,M",A040G#F28.A07GV$F04.A01QX,1046
"*DOUGHNUT,BASIC RECIPE, S",A00BR,1043
"*ONION,WHITE BULB,FRESH,(SMALL),RAW",A0DND#F10.A0F2R$F10.A166Y,29144
"*CLIMBING SPINACH LEAVES,NDEREMA,FRESH,W/O STALKS,RAW",A00MM#F10.A166Y$F20.A07QH,18917
"*SCONES, WHEAT, REFINED FLOUR,D,(MEDIUM)",A00CM#F04.A003X$F10.A07XK,1113
"*CINNAMON POWDER,MDALASINI,(LTSP)",A019V#F03.A06JD,30111
"*VEGETABLE FAT, (HTBS)",A036N,25030
"*CHILLI, GREEN, FRESH,(LARGE),RAW",A00JB#F10.A166Y$F10.A0F2Q,29059
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE , (SMALL),RAW,*BOILED*",A00ZT#F28.A07GL$F10.A166Y$F03.A06HY$F20.A07QR,2066
"*TOMATO,PASTE,(HTBS)",A00ZF,29134
"*GINGER, POWDER,(LTBS)",A01AB#F03.A06JD,30109
"*FISH,TILAPIA, FRESH, CHOPPED,FISH TAIL, (SMALL),RAW,*DEEP F",A0F8L#F28.A07GV$F10.A166Y$F03.A06HZ,14119
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE ,(MEDIUM),RAW,*BOILED*",A00ZT#F28.A07GL$F10.A166Y$F03.A06HY$F20.A07QR,2065
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE ,(LARGE),RAW,*BOILED*",A00ZT#F28.A07GL$F10.A166Y$F03.A06HY$F20.A07QR,2064
"*VEGETABLE FAT,RAW,(VOL)",A036N,25049
"*PEAS,/DAL,YELLOW,DRIED,RAW",A013J#F10.A0F5H,8929
"*CASSAVA ROOT,FRESH, WO/SKIN, H,(MEDIUM),RAW,*DEEP FRIED*",A00ZZ#F28.A07GV$F10.A166Y$F20.A07QR,2038
"*CAMEL MEAT, LOW FAT, W BONE,FRESH, RAW",A01RX#F10.A077C$F10.A166Y$F20.A07QL,16146
"*COCOA,BEVERAGE,(LTBS)",A03KY,27051
"*CHICKEN, WHOLE,W BONES, SKIN&MEAT, (SMALL),RAW",A01SP#F03.A06HY$F20.A07QL$F20.A07QQ,16003
"*SOYA BEANS, DRIED,RAW",A185Q#F27.A0DCH,8910
"*PASTA,MACORONI,WHITE,REFINED,RAW*BOILED*",A007L#F28.A07GL$F10.A07XK,1039
"*BANANA,GREEN BANANA, FRESH, (SMALL),RAW",A01LE#F10.A0F2Q$F10.A166Y,5004
"*BEE,HONEY,RAW,(VOL)",A033J,26004
"*GREENGRAMS, DRIED,RAW",A013D,8938
"*SWEET PEPPER, GREEN,RAW (MEDIUM)",A00JA#F10.A0F2Q,29166
"*CUCUMBER,GREEN, FRESH, (MEDIUM),RAW",A00JM#F10.A0F2Q$F10.A166Y,29067
"*VEGETABLE OIL,OLIVE OIL,RAW,(VOL)",A036P,25036
"*TEA HERBAL,(LTBS)",A03LG,27042
CHICKEN SOUP,A041T#F04.A01SP,16164
"*POPCORN,WHITE , OIL ROASTED",A00DC#F28.A07GY$F04.A036N$F10.A0F2R,1009
"*MILK,COWS MILK,PROCESSED,SKIMMED,FRESH",A02MA#F10.A166Y,9014
"*VEGETABLE FAT, (HTSP)",A036N,25028
"*SOYA BEAN FLOUR,ROASTED SOYA BEANS, RAW",A185Q#F27.A0DCH$F28.A07GY,8915
"*CABBAGE,  GREEN,FRESH, (SMALL),RAW",A00GB#F10.A0F2Q$F10.A166Y,29163
"*SWEETPOTATO,YELLOW,WO/SKIN,FRESH, PIECES, F, (SMALL), RAW,",A010C#F10.A166Y$F10.A0F5H$F20.A07QR,4034
"*FISH, TILAPIA,FRESH, WHOLE FISH, (SMALL), DEEP FRIED",A0F8L#F28.A07GV$F10.A166Y$F03.A06HY,14035
"*SWEETPOTATO,WHITE,WO/SKIN,FRESH,PIECES, D,(LARGE),RAW,*BOIL",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F20.A07QR,3032
"*MANGO,RIPE,W/O SKIN,FRESH,(MEDIUM),RAW",A01LF#F10.A07XL$F10.A166Y$F20.A07QR,30037
"*SWEETPOTATO,WHITE,WO/SKIN,FRESH,PIECES, E,(MEDIUM),RAW,*BOI",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F20.A07QR,3033
"*BANANA, GREEN BANANA, FRESH, VOL,RAW,*STIR FRIED IN",A01LE#F28.A07GT$F10.A0F2Q$F10.A166Y,5057
"*FISH, FISH FILLET PIECES,  (SMALL),RAW, *DEEP FRIED*",A026V#F28.A07GV$F03.A06HZ,14170
"*MANGO,GREEN,W/SKIN,FRESH,(SMALL),RAW",A01LF#F10.A166Y$F10.A0F2Q$F20.A07QQ,30023
"*SILVER CYPRINID,SMALLFISH, FRESH,VOL,RAW",A0F1C#F01.A0K2S$F10.A166Y,14175
"*BANANA, REEN BANANA, FRESH, VOL,RAW",A01LE#F10.A0F2Q$F10.A166Y,5001
"*SWEETPOTATO, YELLOW,  WO/SKIN,FRESH, WHOLE, B (MEDIUM),RAW,",A010C#F10.A166Y$F10.A0F5H$F03.A06HY$F20.A07QR,4030
"KALE LEAVES,FRESH,W/O STALKS,RAW*STIR FRIED*",A00GN#F28.A07GT$F10.A166Y$F20.A07QH,18905
"*CABBAGE,  GREEN,FRESH, VOL,RAW *STIR FRIED*",A00GB#F28.A07GT$F10.A0F2Q$F10.A166Y,29003
"*SWEETPOTATO,WHITE,W/SKIN,FRESH,WHOLE,B(MEDIUM),RAW,*BOILED*",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F03.A06HY$F20.A07QQ,3003
TRADITIONAL BREW,A03PH,27068
"*VEGETABLE FAT,BLUEBAND (LTSP)",A039E#F22.A07SH,25027
"*BEE,HONEY,RAW,(LTSP)",A033J,26005
"*BEE,HONEY,RAW,(LTBS)",A033J,26006
"*GOAT MEAT, MEDIUM FAT, W BONE,FRESH, RAW *BOILED*",A01RL#F28.A07GL$F10.A077B$F20.A07QL,11075
"*COURGETTE,GREEN, FRESH,(LARGE), RAW",A00JR#F10.A0F2Q$F10.A166Y,29082
"*GOAT LIVER,RAW*STIR FRIED*",A01XL#F28.A07GT,16117
"*CHARCOAL POWDER,(VOL)",A048T,30170
"*MAIZE ON COB, WHITE, FRESH, L,RAW",A000T#F10.A0F2R$F10.A166Y$F20.A07RE,1010
"*FISH, TILAPIA,FRESH, WHOLE FISH,(LARGE), DEEP FRIED, *STIR",A0F8L#F28.A07GV$F10.A166Y$F03.A06HY,14042
"*MANGO,GREEN,W/SKIN,FRESH,(MEDIUM),RAW",A01LF#F10.A166Y$F10.A0F2Q$F20.A07QQ,30022
"*GARLIC POWDER,(VOL)",A00ZQ#F27.A00GZ$F03.A06JD,30226
"*BANANA,GREEN BANANA, FRESH,(LARGE),RAW",A01LE#F10.A0F2Q$F10.A166Y,5002
"*COCOA,POWDER,(VOL)",A03HG,27048
"*WATERMELON, SLICES,B,(MEDIUM),FRESH,RAW",A00KJ#F10.A166Y$F03.A06JA,30054
Wheat refined with salt and vegetable oil *fried* (Medium),A001M#F28.A07GR$F04.A042P$F04.A036N$F10.A07XK,30193
"*PORK,MEDIUM FAT,FRESH,RAW",A01RG#F10.A077B,11079
"*FISH,TILAPIA, FRESH, CHOPPED,FISH HEAD,(LARGE),DEEP FRIED,*",A0F8L#F28.A07GV$F10.A166Y$F03.A06HZ,14084
"*SWEETPOTATO, YELLOW,  W/SKIN,FRESH, WHOLE, A (LARGE),RAW, *",A010C#F10.A166Y$F10.A0F5H$F03.A06HY$F20.A07QQ,4002
"*BEEF, MEDIUM FAT, W BONE,FRESH, VOL,RAW *ROASTED*",A01QX#F28.A07GY$F10.A166Y$F10.A077B$F20.A07QL,11041
